,ABBY,BARR,BART,BLAN,BONA,CLBJ,CPER,DCFS,DEJU,DELA,DSNY,GRSM,GUAN,HARV,HEAL,JERC,JORN,KONA,KONZ,LAJA,LENO,MLBS,MOAB,NIWO,NOGP,OAES,ONAQ,ORNL,OSBS,PUUM,RMNP,SCBI,SERC,SJER,SOAP,SRER,STEI,STER,TALL,TEAK,TOOL,TREE,UKFS,UNDE,WOOD,WREF,YELL
0,,,4.1500805196441775,2.974320449266536,,3.566625587556529,7.1454830079064,,,1.170598772859875,,3.1433664744734555,2.273832840318294,2.4561659480272415,2.0967594601648463,1.8486389510316639,,,,,1.3173302411650352,2.920860218994107,9.631086142685279,6.566819799808661,3.3910744000263957,2.868058159747583,7.043582102346409,2.5417272093082586,1.92351566091021,,5.098681419900771,3.057844617997663,2.0255210785637683,,,4.044159657051025,5.389496498412663,5.309129566115249,1.4247061808861379,,,,4.105437196291742,4.65091372495121,4.732453450635934,3.0988798985649866,6.4867848265080115
1,,,4.07210210666948,3.1885895373314486,,3.4734807552513964,6.748299340847676,,,1.1648558163362266,,3.0847382968630646,2.4215253186524706,2.500599670975361,2.209013032875466,1.8635322610532628,,,,,1.3065360795667242,3.0010978573172933,9.340104593759342,6.573956095369482,3.4110468946057684,3.1893831547295823,6.783955673639468,2.6938935577401315,1.911912591395196,,5.328856708651873,3.0471040670725054,1.9436297389740296,,,4.340690676047231,5.225133393761617,6.086378354300035,1.3685943384365307,,,,4.317408536027773,4.676486692429524,4.9464531057130685,3.1132534492326487,6.570584648214045
2,,,3.9567990714264165,3.176379880521533,,3.6784532364271136,6.055973196364291,,,1.2493786771636979,,3.059755299039727,2.375059165577763,2.521998367543345,2.06941304006819,1.8522817948488701,,,,,1.3617738390902407,2.913908788691918,9.472485066819122,6.576388269630137,3.620518353113846,2.8917711803901005,6.637481830397725,2.5739153759806213,1.9087951867532311,,5.079765896693059,2.971586929301111,2.045139923964931,,,4.650586206613857,5.299793529652437,5.33637863167201,1.4451953293921749,,,,3.880563181003732,4.63374900303813,4.498788847345954,3.0979537824008108,6.290858461725003
3,,,3.9614196940526214,3.1866780799797243,,3.420927017114058,6.346073577579786,,,1.21655479037723,,3.2868380898055576,2.4828999979156006,2.5083981671072855,2.0304223974273126,1.9021634623090136,,,,,1.25465524976301,2.90232074248594,9.397312818166554,6.6865138831586,3.504659046673907,2.8467587282471887,6.62920739124988,2.6012589342955126,1.9601879716527986,,5.04555211922676,2.82932568207773,2.0248744709927666,,,3.7972399865026554,5.444082805497838,5.265998222160043,1.410013947246081,,,,4.153154190874305,4.599077441548054,4.6311413914688275,2.7899169818711176,6.242950235137154
4,,,4.185008633704186,3.2907485313495166,,3.423402609717599,7.369803138933211,,,1.220507509719896,,3.258617046714203,2.412641187601584,2.5583244029429624,2.1305800876376,1.8944129610344418,,,,,1.258829371798914,2.9443098872692075,9.268382444889374,6.773681225717098,3.254929999917302,2.8619471256337072,6.428346324214694,2.549323857976162,2.011882700659969,,5.134175795594898,3.0856377120308007,1.9992026073258986,,,4.262004484105964,5.098911475240574,5.754296431539045,1.3624330574826362,,,,3.94536002463021,4.7407719312026755,4.879936569386161,2.8452380062620866,6.983990678051195
5,,,3.944993908325798,3.2438294141682187,,3.3769668402114084,7.629228636873075,,,1.233788381677282,,3.288884301335556,2.4012704919361285,2.5427212345705508,2.1748635852145948,1.889261726805424,,,,,1.3799295589676914,2.8122422855497935,9.89225181538459,6.407743783238286,3.388432060938504,2.8569243332650163,7.07103500676066,2.574403875811296,2.078579999720131,,5.427562838400192,3.115015993902334,1.9165601803128725,,,4.374898771089139,5.369732275292286,5.322995764279511,1.3503235622743717,,,,4.103453899496911,4.515510318339463,4.920917510375952,3.081209069917656,6.591401986018383
6,,,4.013892745018062,3.219983274510113,,3.2702294141792407,6.8938042716403265,,,1.2378213072137876,,3.088863165120401,2.4550585735082846,2.504313972076533,2.02439409151072,1.772403121586738,,,,,1.312808855137325,2.8877772252668095,9.742422193200131,6.637445058306329,3.468181499402428,3.003855815162844,6.656989368407525,2.6231305616295595,1.9541511096033832,,5.394319401780127,3.145464451105132,2.0766371726969357,,,4.022889851294601,5.403925813218594,5.819267229794591,1.363991312078521,,,,3.997185555792124,4.934198249799324,4.720362805469837,2.9555697972705257,6.519135421214728
7,,,4.016259945201252,3.0566195250036543,,3.5145623553538634,6.767303315293687,,,1.1926962651344573,,3.1874962766548465,2.322916239070584,2.583495760222951,2.176439116672693,1.8540542277032581,,,,,1.319487620287271,2.9233413531337242,9.78058609456856,6.692309407942421,3.301027785367105,2.8785315685512,6.783074648000926,2.5370508507921548,2.001966935443279,,5.004346227062014,3.314272112656041,2.087868342201742,,,4.153940356771906,5.104806995778476,5.844223164481273,1.4354287881402674,,,,4.00684414632148,4.535565082515051,4.723151405075331,2.87446092025467,6.696216702015865
8,,,3.9546381365414986,3.233229966214257,,3.4325288365501043,7.162088328389087,,,1.1711843701495772,,3.135783749543611,2.328123619286608,2.543773445285905,1.933959198305899,1.8715582728306983,,,,,1.4029420663303913,2.969000418352745,9.74738901958177,6.661133647766445,3.4922942745089665,2.8713693110083964,7.209135629235652,2.5344747213457683,2.0694615696469882,,5.6620354542449,3.0670098505898418,2.027248596661518,,,3.9693685659296842,5.0567587041352215,5.557508301116165,1.4285028281644643,,,,4.267614524876887,4.431619291152267,4.8817112231341655,2.8549877480866783,6.147203726591745
9,,,4.045512850146928,3.235173546019059,,3.4745688442698803,7.216605369080563,,,1.2066692007462896,,3.1728511121379825,2.528056476868814,2.5133421729404093,2.1476677016732233,1.8827671727275406,,,,,1.4209735216766672,2.945177181375923,8.927970546921674,6.331872054459481,3.698588784990816,2.86521632962153,7.198689750931742,2.5657951314915923,1.9451367365107928,,5.1856022606680865,3.0092403044946936,1.9633487972385872,,,4.74970879021563,5.263365975256944,6.131238594298346,1.416873935246373,,,,4.1679691215408265,4.668337642615676,4.398257509625146,2.9258283477731193,7.016828135019202
